revision;totalFiles;nonJavaFiles;nonJavaEqualFiles;nonJavaMergedFiles;nonJavaFilesConfs;javaFiles;javaEqualFiles;javaMergedFiles;badParsedFiles;javaFilesConfsSS;javaFilesConfsUN;javaEqualConfs;mergeTime
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_2c9dfea_f1609ee/rev_2c9dfea-f1609ee.revisions;1504;537;0;537;0;967;967;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_2075463_c89a1a5/rev_2075463-c89a1a5.revisions;1505;537;0;537;0;968;968;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_248914c_a0e8342/rev_248914c-a0e8342.revisions;1505;537;0;537;0;968;968;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_07fd758_f09e268/rev_07fd758-f09e268.revisions;1508;540;0;540;0;968;968;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_3e56f5d_b84e028/rev_3e56f5d-b84e028.revisions;1515;543;0;543;0;972;972;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_f6e5454_9a6f00d/rev_f6e5454-9a6f00d.revisions;1518;542;0;542;0;976;976;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_df5ff7b_7f929ba/rev_df5ff7b-7f929ba.revisions;1518;542;0;542;0;976;976;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_8936d37_ae932f9/rev_8936d37-ae932f9.revisions;1518;542;0;542;0;976;976;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_28c2f15_ed626f9/rev_28c2f15-ed626f9.revisions;1518;542;0;542;0;976;976;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_361381f_a28461c/rev_361381f-a28461c.revisions;1520;544;0;544;0;976;976;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_fdb8d83_1bddc57/rev_fdb8d83-1bddc57.revisions;1533;544;0;544;0;989;989;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_b1e1ae0_09cb34a/rev_b1e1ae0-09cb34a.revisions;1540;547;0;547;0;993;993;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_2f390a5_be65daa/rev_2f390a5-be65daa.revisions;1542;547;0;547;0;995;995;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_c1a426a_538f78d/rev_c1a426a-538f78d.revisions;1542;547;0;547;0;995;995;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_99b9539_cb235c1/rev_99b9539-cb235c1.revisions;1542;547;0;547;0;995;995;0;0;0;0;0;0
